Entity,Code,Day,daily_vaccinations
Alaska,,2021/2/21,7330
Alaska,,2021/2/22,7266
Alaska,,2021/2/23,6988
Alaska,,2021/2/24,7148
Alaska,,2021/2/25,7201
Alaska,,2021/2/26,5444
Alaska,,2021/2/27,4591
Alaska,,2021/2/28,4229
Alaska,,2021/3/1,4304
Alaska,,2021/3/2,4288
Alaska,,2021/3/3,4243
Alaska,,2021/3/4,3905
Alaska,,2021/3/5,3876
Alaska,,2021/3/6,4155
Alaska,,2021/3/7,4329
Alaska,,2021/3/8,4248
Alaska,,2021/3/9,4678
Alaska,,2021/3/10,4917
Alaska,,2021/3/11,5211
Alaska,,2021/3/12,5294
Alaska,,2021/3/13,5092
Alaska,,2021/3/14,5473
Alaska,,2021/3/15,5571
Alaska,,2021/3/16,5280
Alaska,,2021/3/17,5460
Alaska,,2021/3/18,5390
Alaska,,2021/3/19,5361
Alaska,,2021/3/20,5490
Alaska,,2021/3/21,5583
Alaska,,2021/3/22,5493
Alaska,,2021/3/23,5273
Alaska,,2021/3/24,4758
Alaska,,2021/3/25,4773
Alaska,,2021/3/26,4817
Alaska,,2021/3/27,4707
Alaska,,2021/3/28,4152
Alaska,,2021/3/29,3956
Alaska,,2021/3/30,3969
Alaska,,2021/3/31,3991
Alaska,,2021/4/1,3861
Alaska,,2021/4/2,3702
Alaska,,2021/4/3,3513
Alaska,,2021/4/4,3865
Alaska,,2021/4/5,4022
Alaska,,2021/4/6,4050
Alaska,,2021/4/7,4207
Alaska,,2021/4/8,4537
Alaska,,2021/4/9,4664
Alaska,,2021/4/10,5069
Alaska,,2021/4/11,4676
Alaska,,2021/4/12,4831
Alaska,,2021/4/13,9046
Alaska,,2021/4/14,9009
Alaska,,2021/4/15,8075
Alaska,,2021/4/16,8075
Alaska,,2021/4/17,7732
Alaska,,2021/4/18,7745
Alaska,,2021/4/19,7467
Alaska,,2021/4/20,3288
Alaska,,2021/4/21,3574
Alaska,,2021/4/22,4331
Alaska,,2021/4/23,4098
Alaska,,2021/4/24,3874
Alaska,,2021/4/25,3447
Alaska,,2021/4/26,3292
Alaska,,2021/4/27,3223
Alaska,,2021/4/28,2645
Alaska,,2021/4/29,2913
Alaska,,2021/4/30,2749
Alaska,,2021/5/1,3386
Alaska,,2021/5/2,3259
Alaska,,2021/5/3,3187
Alaska,,2021/5/4,3084
Alaska,,2021/5/5,3064
Alaska,,2021/5/6,2358
Alaska,,2021/5/7,2321
Alaska,,2021/5/8,1523
Alaska,,2021/5/9,1275
Alaska,,2021/5/10,1757
Alaska,,2021/5/11,1840
Alaska,,2021/5/12,1800
Alaska,,2021/5/13,1706
Alaska,,2021/5/14,1677
Alaska,,2021/5/15,1760
Alaska,,2021/5/16,2194
Alaska,,2021/5/17,1747
Alaska,,2021/5/18,1705
Alaska,,2021/5/19,1937
Alaska,,2021/5/20,2027
Alaska,,2021/5/21,2158
Alaska,,2021/5/22,2115
Alaska,,2021/5/23,2053
Alaska,,2021/5/24,2080
Alaska,,2021/5/25,2072
Alaska,,2021/5/26,1855
American Samoa,ASM,2021/1/13,453
American Samoa,ASM,2021/1/14,424
American Samoa,ASM,2021/1/15,586
American Samoa,ASM,2021/1/16,494
American Samoa,ASM,2021/1/17,439
American Samoa,ASM,2021/1/18,402
American Samoa,ASM,2021/1/19,376
American Samoa,ASM,2021/1/20,391
American Samoa,ASM,2021/1/21,385
American Samoa,ASM,2021/1/22,384
American Samoa,ASM,2021/1/23,390
American Samoa,ASM,2021/1/24,532
American Samoa,ASM,2021/1/25,501
American Samoa,ASM,2021/1/26,508
American Samoa,ASM,2021/1/27,539
American Samoa,ASM,2021/1/28,489
American Samoa,ASM,2021/1/29,479
American Samoa,ASM,2021/1/30,442
American Samoa,ASM,2021/1/31,268
American Samoa,ASM,2021/2/1,388
American Samoa,ASM,2021/2/2,349
American Samoa,ASM,2021/2/3,283
American Samoa,ASM,2021/2/4,310
American Samoa,ASM,2021/2/5,301
American Samoa,ASM,2021/2/6,333
American Samoa,ASM,2021/2/7,333
American Samoa,ASM,2021/2/8,214
American Samoa,ASM,2021/2/9,274
American Samoa,ASM,2021/2/10,322
American Samoa,ASM,2021/2/11,322
American Samoa,ASM,2021/2/12,429
American Samoa,ASM,2021/2/13,446
American Samoa,ASM,2021/2/14,446
American Samoa,ASM,2021/2/15,498
American Samoa,ASM,2021/2/16,490
American Samoa,ASM,2021/2/17,422
American Samoa,ASM,2021/2/18,394
